osm_id,osm_type,source_layer,name,capacity,access,brand,stars,rooms,powierzchnia_m2,latitude,longitude
95856429,way,centrum_handlowe,Centrum Mody,,,,,,5760.24658203125,52.10247964,20.83000912
98240193,way,centrum_handlowe,Galeria Indomo,,,,,,7095.92578125,51.38941355,16.215874382692306
98240251,way,centrum_handlowe,Cuprum Arena,,,,,,19873.1044921875,51.393812868604655,16.206123630232558
98615594,way,centrum_handlowe,DH Klimczok,,,,,,8343.24267578125,49.824106815,19.04925595
98709778,way,centrum_handlowe,Sarni Stok,,,,,,34574.89990234375,49.839602708433766,19.0347068313253
99409435,way,centrum_handlowe,,,,,,,5271.0478515625,51.645771730769226,16.10979606153846
100225147,way,centrum_handlowe,Centrum Handlowe Oliwa,,,,,,8323.43212890625,54.39492297777778,18.582217533333328
100486798,way,centrum_handlowe,CH Manhatan,,,,,,6187.2041015625,54.46510568378378,17.01953865135135
100748391,way,centrum_handlowe,Park Handlowy Auchan Bielany,,,,,,45334.1552734375,51.05319915882352,16.97252994411765
100834524,way,centrum_handlowe,Ferio Gaj,,,,,,9039.7470703125,51.07601644871796,17.042066792307693
100930666,way,centrum_handlowe,Centrum Handlowe Borek,,,,,,31397.16455078125,51.0882485875,16.998710228409095
100932406,way,centrum_handlowe,Family Point,,,,,,8155.376953125,51.09057411428572,17.062471871428567
101130495,way,centrum_handlowe,Wrocław Fashion Outlet,,,,,,18706.45263671875,51.10724810000001,16.946468005
101210331,way,centrum_handlowe,Domar,,,,,,6991.650390625,51.11051548260869,17.01474113043478
101429799,way,centrum_handlowe,Astra,,,,,,8737.39013671875,51.12663520847458,16.9756996
101567499,way,centrum_handlowe,Promenady Wrocławskie Center,,,,,,15833.84423828125,51.13057847105263,17.040482773684207
101655780,way,centrum_handlowe,Centrum Handlowe Korona,,,,,,37672.609375,51.14212935587301,17.08878482666667
101738261,way,centrum_handlowe,Marino,,,,,,18213.40234375,51.151980323809504,17.027394085714292
104358824,way,centrum_handlowe,Aura Centrum Olsztyna,,,,,,15744.01708984375,53.77719970245901,20.483052867213114
105143399,way,centrum_handlowe,Gigamarket,,,,,,21614.5078125,52.43283521538461,16.950938269230768
106954769,way,centrum_handlowe,Centrum handlowe Echo,,,,,,11217.568359375,51.665033400000006,19.3502227
107043840,way,centrum_handlowe,Gala,,,,,,7336.876953125,51.2385364,22.57304431578948
